Historical homogenized temperature stations for Canada - Updated to December 2011,,,,,,,,,,
Stations historiques de temperatures homogénéisées pour le Canada - Mise à jour jusqu'à décembre 2011,,,,,,,,,,
Prov,station's name,stnid,beg yr,beg mon ,end yr,end mon,lat (deg),long (deg),elev (m),stns joined
Prov,nom de la station,stnid,année déb.,mois déb.,année fin.,année fin.,lat (deg),long (deg),élév (m),stns jointes
BC,AGASSIZ,1100120,1893,1,2011,12,49.25,-121.77,15,N
BC,ATLIN,1200560,1905,8,2011,12,59.57,-133.70,674,N
BC,BARKERVILLE,1090660,1888,2,2008,8,53.07,-121.52,1265,N
BC,BEAVERDELL,1130771,1939,1,2006,9,49.48,-119.05,838,Y
BC,BELLA COOLA,1060841,1895,5,2011,12,52.37,-126.68,18,Y
BC,BLIND CHANNEL,1021480,1958,7,2011,12,50.42,-125.50,23,N
BC,BLUE RIVER,1160899,1946,9,2011,12,52.13,-119.28,683,Y
BC,CAPE SCOTT,1031353,1921,7,2011,12,50.78,-128.43,72,Y
BC,CAPE ST JAMES,1051351,1944,12,2011,12,51.93,-131.02,89,Y
BC,CARIBOO LODGE,1171393,1914,1,2009,11,52.72,-119.47,1096,Y
BC,COMOX,1021830,1935,11,2011,12,49.72,-124.90,26,Y
BC,CRANBROOK,1152102,1901,1,2011,12,49.62,-115.78,940,Y
BC,CRESTON,1142160,1912,6,2010,7,49.10,-116.52,597,N
BC,DARFIELD,1162265,1913,12,2011,12,51.30,-120.18,412,Y
BC,DAWSON CREEK,1182285,1952,9,2009,9,55.75,-120.18,655,Y
BC,DEASE LAKE,1192340,1944,9,2011,12,58.42,-130.00,807,N
BC,ESTEVAN POINT,1032730,1923,10,2011,12,49.38,-126.55,7,N
BC,FAUQUIER,1142820,1913,2,2008,7,49.87,-118.07,490,N
BC,FORT NELSON,1192940,1937,9,2011,12,58.83,-122.60,382,N
BC,FORT ST JAMES,1092970,1895,1,2011,12,54.45,-124.25,686,N
BC,FORT ST JOHN,1183000,1939,1,2011,12,56.23,-120.73,695,Y
BC,GERMANSEN,1183090,1951,8,2011,12,55.78,-124.70,766,N
BC,GLACIER,1173191,1908,1,2008,6,51.30,-117.52,1323,Y
BC,GOLDEN,1173210,1902,4,2011,12,51.30,-116.98,785,N
BC,GRAND FORKS,1133270,1911,3,2008,3,49.03,-118.47,532,Y
BC,KAMLOOPS,1163780,1890,1,2011,12,50.70,-120.45,345,Y
BC,KASLO,1143900,1912,2,2010,6,49.92,-116.92,591,N
BC,KELOWNA,1123993,1899,3,2011,12,49.87,-119.48,430,Y
BC,LANGARA,1054500,1936,7,2011,12,54.25,-133.05,41,N
BC,MCINNES ISLAND,1065010,1955,1,2011,12,52.27,-128.72,26,N
BC,MERRITT,1125079,1962,6,2011,12,50.12,-120.80,609,Y
BC,OLIVER,1125766,1955,1,2011,12,49.18,-119.55,297,N
BC,PENTICTON,1126150,1907,4,2011,12,49.47,-119.60,344,Y
BC,PORT HARDY,1026270,1944,5,2011,12,50.68,-127.37,22,N
BC,PRINCE GEORGE,1096450,1912,8,2009,10,53.88,-122.68,691,Y
BC,PRINCE RUPERT,1066483,1908,8,2011,12,54.28,-130.45,35,Y
BC,PRINCETON,1126510,1893,7,2011,12,49.47,-120.52,700,Y
BC,QUATSINO,1036572,1895,6,2011,12,50.53,-127.65,8,Y
BC,QUESNEL,1096625,1899,1,2010,6,53.03,-122.52,545,Y
BC,QUINSAM RIVER,1026639,1958,7,2011,12,50.02,-125.30,46,Y
BC,SALMON ARM,1166R45,1911,7,2011,12,50.68,-119.23,527,Y
BC,SANDSPIT,1057050,1945,9,2011,12,53.25,-131.82,6,N
BC,SHAWNIGAN LAKE,1017230,1913,4,2011,12,48.65,-123.63,138,N
BC,SMITHERS,1077500,1922,6,2011,12,54.82,-127.18,522,Y
