1128582,VERNON            ,BC, station joined    , Monthly mean of homogenized daily mean temperature                     , °C,          Updated to December 2010
1128582,VERNON            ,BC, station jointe    , Moyenne mensuelle des températures homogénéisées moyennes quotidiennes , °C, Mise à jour jusqu à décembre 2010
Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Year,    Janv, ,     Fév, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Août, ,    Sept, ,     Oct, ,     Nov, ,     Déc, ,  Annuel, ,   Hiver, ,Printemp, ,     Eté, , Automne
1900, -9999.9,M, -9999.9,M, -9999.9,M,     9.8,a,    13.2,a,    17.3,a,    19.6,a,    16.7,a,    13.9,a,     8.0,a,     -.8,a,     1.2,a, -9999.9,M, -9999.9,M, -9999.9,M,    17.9,a,     7.0,a
1901,    -4.4,a,    -3.0,a,     4.2,a,     7.1,a,    13.5,a,    15.6,a,    20.0,a,    22.4,a,    12.2,a, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    -2.1,a,     8.3,a,    19.3,a, -9999.9,M
1902,    -2.7,a,      .2,a,     3.6,a,     8.0,a,    13.2,a,    14.6,a,    18.4,a,    18.8,a,    12.7,a,     9.0,a,     1.2,a,    -1.8,a,     8.0,a, -9999.9,M,     8.3,a,    17.3,a,     7.7,a
1903,    -2.2,a,    -3.6,a,     -.9,a,     6.9,a,    12.8,a,    19.7,a,    18.1,a,    18.5,a,    11.0,a,     7.8,a,     1.4,a,     -.3,a,     7.4,a,    -2.5,a,     6.3,a,    18.8,a,     6.8,a
1904,    -2.3,a,    -2.8,a,      .5,a,     8.9,a,    12.0,a,    16.2,a,    20.9,a,    20.6,a,    15.1,a,     9.2,a,     5.1,a,     -.4,a,     8.6,a,    -1.8,a,     7.2,a,    19.2,a,     9.8,a
1905,    -1.6,a,    -2.9,a,     6.6,a,     9.5,a,    12.5,a,    17.0,a,    22.0,a,    20.9,a,    14.2,a,     5.2,a,     1.9,a,     -.9,a,     8.7,a,    -1.6,a,     9.5,a,    20.0,a,     7.1,a
1906,    -1.6,a,      .7,a,     3.4,a,    11.1,a,    13.4,a,    16.1,a,    24.8,a,    20.6,a,    15.0,a,     9.7,a,     1.9,a,    -1.1,a,     9.5,a,     -.6,a,     9.3,a,    20.5,a,     8.9,a
1907,   -11.7,a,    -2.4,a,      .8,a,     7.0,a,    13.9,a,    16.3,a,    20.8,a,    16.9,a,    13.9,a,     9.5,a,     3.9,a,      .3,a,     7.4,a,    -5.1,a,     7.2,a,    18.0,a,     9.1,a
1908,    -1.7,a,    -1.8,a,     2.9,a,     8.7,a,    12.9,a,    18.0,a,    22.0,a,    19.8,a,    14.0,a,     7.5,a,     5.1,a,    -2.4,a,     8.8,a,    -1.1,a,     8.2,a,    19.9,a,     8.9,a
1909,   -10.0,a,    -1.3,a,     4.4,a,     7.1,a,    12.5,a,    17.4,a,    19.1,a,    18.5,a,    16.1,a,     8.4,a,     2.2,a,    -3.6,a,     7.6,a,    -4.6,a,     8.0,a,    18.3,a,     8.9,a
