2400800,CLYDE             ,NU, station not joined, Monthly mean of homogenized daily mean temperature                     , °C,          Updated to December 2010
2400800,CLYDE             ,NU, station non-jointe, Moyenne mensuelle des températures homogénéisées moyennes quotidiennes , °C, Mise à jour jusqu à décembre 2010
Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Year,    Janv, ,     Fév, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Août, ,    Sept, ,     Oct, ,     Nov, ,     Déc, ,  Annuel, ,   Hiver, ,Printemp, ,     Eté, , Automne
1946, -9999.9,M,   -26.0,a,   -24.3,a,   -23.5,a,    -5.1,a,      .8,a,     3.9,a,     3.3,a,     -.1,a,    -6.7,a,   -15.4,a,   -23.1,a, -9999.9,M, -9999.9,M,   -17.6,a,     2.7,a,    -7.4,a
1947,   -24.4,a,   -17.8,a,   -19.3,a, -9999.9,M,    -8.0,a,     1.2,a,     4.9,a,     4.0,a,     -.2,a,    -7.3,a,   -11.9,a,   -25.3,a, -9999.9,M,   -21.8,a, -9999.9,M,     3.4,a,    -6.5,a
1948,   -26.6,a,   -31.5,a,   -31.8,a,   -20.3,a,    -7.8,a,     1.5,a,     6.7,a,     5.3,a, -9999.9,M,    -4.9,a,   -14.6,a,   -30.9,a, -9999.9,M,   -27.8,a,   -19.9,a,     4.5,a, -9999.9,M
1949,   -29.8,a,   -36.6,a,   -25.1,a,   -19.3,a,    -8.2,a,     3.3,a,     6.8,a,     5.6,a,      .1,a,    -6.8,a,   -18.3,a,   -25.4,a,   -12.8,a,   -32.5,a,   -17.5,a,     5.2,a,    -8.3,a
1950,   -33.8,a,   -27.9,a,   -25.3,a,   -22.7,a,    -6.4,a,     1.6,a,     7.2,a,     4.8,a,     -.8,a,    -8.4,a,   -17.1,a,   -21.0,a,   -12.5,a,   -29.1,a,   -18.1,a,     4.5,a,    -8.8,a
1951,   -28.4,a,   -34.7,a,   -25.3,a,   -17.9,a,    -5.3,a,     2.3,a,     5.2,a,     3.0,a,     1.3,a,    -7.9,a,   -18.2,a,   -28.0,a,   -12.8,a,   -28.0,a,   -16.2,a,     3.5,a,    -8.3,a
1952, -9999.9,M,   -31.5,a,   -26.7,a, -9999.9,M,    -3.8,a,     2.2,a,     4.0,a,     4.0,a,      .7,a,    -8.6,a,   -14.1,a,   -24.0,a, -9999.9,M, -9999.9,M, -9999.9,M,     3.4,a,    -7.4,a
1953,   -29.5,a, -9999.9,M,   -28.6,a,   -12.2,a,    -5.0,a,     1.3,a,     4.3,a,     5.6,a,      .1,a,    -7.5,a,   -23.9,a,   -33.9,a, -9999.9,M, -9999.9,M,   -15.3,a,     3.7,a,   -10.4,a
1954,   -29.4,a,   -32.3,a,   -26.6,a,   -16.9,a,    -4.8,a,     1.2,a,     5.3,a, -9999.9,M, -9999.9,M,    -6.9,a,   -20.8,a,   -27.6,a, -9999.9,M,   -31.8,a,   -16.1,a, -9999.9,M, -9999.9,M
1955, -9999.9,M,   -31.6,a,   -26.6,a,   -18.3,a,    -5.8,a,     2.2,a,     5.7,a,     5.1,a,     -.6,a,     -.7,a,   -16.2,a,   -22.4,a, -9999.9,M, -9999.9,M,   -16.9,a,     4.3,a,    -5.8,a
1956,   -26.3,a,   -27.8,a,   -30.8,a,   -15.3,a,    -9.9,a,      .7,a,     5.3,a,     5.0,a,     -.6,a,    -8.2,a,   -22.0,a,   -30.1,a,   -13.3,a,   -25.5,a,   -18.7,a,     3.7,a,   -10.3,a
1957,   -33.5,a,   -29.8,a,   -24.1,a,   -20.6,a,    -9.0,a,     1.9,a,     5.9,a,     5.0,a,     2.0,a,    -7.3,a,   -20.5,a,   -28.2,a,   -13.2,a,   -31.1,a,   -17.9,a,     4.3,a,    -8.6,a
1958,   -29.0,a,   -27.9,a,   -27.1,a,   -24.1,a,    -4.3,a,     2.3,a,     6.0,a,     2.7,a,     -.5,a,    -7.8,a,   -23.8,a,   -24.6,a,   -13.2,a,   -28.4,a,   -18.5,a,     3.6,a,   -10.7,a
1959,   -22.4,a, -9999.9,M,   -30.9,a,   -18.9,a,    -9.4,a,     1.9,a,     4.3,a,     3.7,a,      .4,a,   -10.2,a,   -17.2,a,   -24.0,a, -9999.9,M, -9999.9,M,   -19.7,a,     3.3,a,    -9.0,a
1960,   -26.9,a,   -25.7,a,   -29.8,a,   -22.1,a,    -6.4,a,     2.1,a,     6.6,a,     5.6,a,     1.4,a,    -3.0,a,   -14.1,a,   -24.5,a,   -11.4,a,   -25.5,a,   -19.4,a,     4.8,a,    -5.2,a
1961,   -31.6,a,   -34.4,a,   -34.5,a,   -17.1,a,   -10.8,a,     2.2,a,     7.1,a,     3.6,a,    -2.2,a,    -9.4,a,   -23.3,a,   -25.5,a,   -14.7,a,   -30.2,a,   -20.8,a,     4.3,a,   -11.6,a
1962,   -28.1,a,   -33.2,a,   -22.3,a,   -18.2,a,    -8.4,a,     1.8,a,     6.2,a,     6.4,a,      .6,a,    -7.2,a,   -17.1,a,   -22.9,a,   -11.9,a,   -28.9,a,   -16.3,a,     4.8,a,    -7.9,a
1963,   -24.5,a,   -21.6,a,   -31.1,a,   -17.6,a,    -9.5,a,      .9,a,     3.8,a,     5.0,a,    -1.0,a,    -6.8,a,   -14.6,a,   -23.4,a,   -11.7,a,   -23.0,a,   -19.4,a,     3.3,a,    -7.5,a
1964,   -29.6,a,   -27.5,a,   -32.3,a,   -20.4,a,    -9.6,a,     1.1,a,     4.5,a,     4.5,a,     1.9,a,    -9.4,a,   -18.2,a,   -22.0,a,   -13.1,a,   -26.8,a,   -20.8,a,     3.4,a,    -8.6,a
