4012400,ESTEVAN           ,SK, station joined    , Monthly mean of homogenized daily mean temperature                     , °C,          Updated to December 2010
4012400,ESTEVAN           ,SK, station jointe    , Moyenne mensuelle des températures homogénéisées moyennes quotidiennes , °C, Mise à jour jusqu à décembre 2010
Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Year,    Janv, ,     Fév, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Août, ,    Sept, ,     Oct, ,     Nov, ,     Déc, ,  Annuel, ,   Hiver, ,Printemp, ,     Eté, , Automne
1900, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    18.1, ,    19.3, ,    18.7, ,    10.6, ,     6.9, ,    -9.1, ,   -12.9, , -9999.9,M, -9999.9,M, -9999.9,M,    18.7, ,     2.8, 
1901,   -21.3, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    11.0, ,     7.6, ,    -4.4, ,   -10.4, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     4.7, 
1902,   -11.9, ,   -14.3, ,    -6.8, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    11.9, ,     5.3, ,    -4.5, ,   -17.7, , -9999.9,M,   -12.2, , -9999.9,M, -9999.9,M,     4.2, 
1903,   -14.1, ,   -17.7, ,   -10.8, ,     5.4, ,    10.2, ,    16.0, ,    17.1, ,    15.8, ,     9.2, ,     7.4, ,    -5.1, ,   -10.1, ,     1.9, ,   -16.5, ,     1.6, ,    16.3, ,     3.8, 
1904,   -15.2, ,   -21.9, ,   -11.9, ,     2.1, ,    11.7, ,    14.9, ,    17.6, ,    16.1, ,    10.6, ,     6.0, ,     2.6, ,    -9.8, ,     1.9, ,   -15.7, ,      .6, ,    16.2, ,     6.4, 
1905,   -19.0, ,   -12.8, ,      .8, ,     4.1, ,     8.4, ,    13.9, ,    17.7, ,    18.5, ,    12.6, ,     2.9, ,    -1.3, ,    -9.9, ,     3.0, ,   -13.9, ,     4.4, ,    16.7, ,     4.7, 
1906,   -14.3, ,   -13.3, ,    -9.3, ,     8.1, ,     9.4, ,    16.2, ,    19.4, ,    18.2, ,    15.3, ,     5.9, ,    -5.2, ,   -14.6, ,     3.0, ,   -12.5, ,     2.8, ,    17.9, ,     5.3, 
1907,   -22.5, ,   -15.8, ,    -8.3, ,    -3.6, ,     4.7, ,    15.7, ,    17.2, ,    15.8, ,     9.1, ,     4.8, ,    -2.0, ,    -9.0, ,      .5, ,   -17.6, ,    -2.4, ,    16.2, ,     4.0, 
1908,   -10.3, ,   -11.9, ,    -8.9, ,     4.7, ,     9.5, ,    14.7, ,    18.9, ,    15.4, ,    13.0, ,     4.0, ,    -2.2, ,    -9.2, ,     3.2, ,   -10.4, ,     1.8, ,    16.4, ,     4.9, 
1909,   -17.6, ,   -14.9, ,    -5.9, ,     -.1, ,    10.1, ,    16.2, ,    20.8, ,    19.8, ,    14.6, ,     3.7, ,    -4.7, ,   -16.0, ,     2.2, ,   -13.9, ,     1.4, ,    18.9, ,     4.5, 
