406QLD0,URANIUM CITY      ,SK, station joined    , Monthly mean of homogenized daily mean temperature                     , °C,          Updated to December 2010
406QLD0,URANIUM CITY      ,SK, station jointe    , Moyenne mensuelle des températures homogénéisées moyennes quotidiennes , °C, Mise à jour jusqu à décembre 2010
Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Year,    Janv, ,     Fév, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Août, ,    Sept, ,     Oct, ,     Nov, ,     Déc, ,  Annuel, ,   Hiver, ,Printemp, ,     Eté, , Automne
1953,   -27.5, ,   -18.0, , -9999.9,M,    -5.6, ,     6.5, ,    11.5, ,    15.4, ,    17.6, ,     8.1, ,     1.3, ,    -6.2, ,   -21.2, , -9999.9,M, -9999.9,M, -9999.9,M,    14.9, ,     1.1, 
1954,   -32.5, ,   -19.9, ,   -14.9, ,   -13.4, ,     6.2, ,    14.4, ,    17.4, ,    16.5, ,     8.7, ,     1.5, ,    -6.9, ,   -15.5, ,    -3.2, ,   -24.5, ,    -7.4, ,    16.1, ,     1.1, 
1955,   -25.0, ,   -25.7, ,   -21.4, ,    -2.6, ,     7.0, ,    16.8, ,    16.8, ,    15.3, ,     6.5, ,     1.4, ,   -16.2, ,   -24.5, ,    -4.3, ,   -22.1, ,    -5.7, ,    16.3, ,    -2.8, 
1956,   -23.9, ,   -23.7, ,   -14.8, ,    -5.5, ,     4.9, ,    14.2, ,    16.8, ,    14.2, ,     5.4, ,    -1.3, ,    -9.1, ,   -23.3, ,    -3.8, ,   -24.0, ,    -5.1, ,    15.1, ,    -1.6, 
1957,   -28.2, , -9999.9,M,   -13.3, ,    -4.7, , -9999.9,M, -9999.9,M,    15.7, ,    15.1, ,     8.4, ,    -1.2, ,   -11.7, ,   -22.0, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    -1.5, 
1958,   -19.5, ,   -24.2, ,    -9.2, ,     -.4, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,   -21.9, , -9999.9,M, -9999.9,M, -9999.9,M
1959, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
1960, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
1961, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
1962, -9999.9,M, -9999.9,M,   -15.8, ,    -4.9, ,     4.0, ,    14.9, ,    15.3, ,    14.0, ,     8.7, ,     1.9, ,   -11.8, ,   -21.7, , -9999.9,M, -9999.9,M,    -5.6, ,    14.7, ,     -.4, 
