6053575,HORNEPAYNE        ,ON, station joined    , Monthly mean of homogenized daily mean temperature                     , °C,          Updated to December 2010
6053575,HORNEPAYNE        ,ON, station jointe    , Moyenne mensuelle des températures homogénéisées moyennes quotidiennes , °C, Mise à jour jusqu à décembre 2010
Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Year,    Janv, ,     Fév, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Août, ,    Sept, ,     Oct, ,     Nov, ,     Déc, ,  Annuel, ,   Hiver, ,Printemp, ,     Eté, , Automne
1917, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    13.4, ,    17.7, ,    13.8, ,    10.5, ,    -1.0, ,    -4.3, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    15.0, ,     1.7, 
1918, -9999.9,M, -9999.9,M,    -8.1, ,     4.2, ,     7.9, ,    10.7, ,    14.5, ,    14.6, ,    10.8, ,    11.7, ,    -1.1, , -9999.9,M, -9999.9,M, -9999.9,M,     1.3, ,    13.3, ,     7.2, 
1919, -9999.9,M, -9999.9,M,    -8.7, ,    -1.6, ,     3.1, ,     2.6, ,     7.0, ,    22.2, ,    19.7, ,     9.8, ,    -5.6, ,   -28.5, , -9999.9,M, -9999.9,M,    -2.4, ,    10.6, ,     8.0, 
1920, -9999.9,M, -9999.9,M,    -8.4, ,     -.8, ,     8.6, ,    15.5, ,    13.7, ,    15.0, ,    11.9, ,     5.1, ,    -5.7, ,   -10.4, , -9999.9,M, -9999.9,M,     -.2, ,    14.8, ,     3.8, 
1921,   -13.4, ,   -13.8, ,    -9.7, ,     2.5, ,     9.6, ,    15.7, ,    19.2, ,    13.2, ,    11.0, ,     3.2, ,   -10.0, ,   -14.7, ,     1.1, ,   -12.5, ,      .8, ,    16.0, ,     1.4, 
1922,   -18.5, ,   -17.7, ,    -8.1, ,     -.2, ,    10.5, ,    12.3, ,    13.7, ,    13.2, , -9999.9,M,    -1.0, ,    -3.7, ,   -19.9, , -9999.9,M,   -17.0, ,      .7, ,    13.0, , -9999.9,M
1923,   -20.4, ,   -20.6, ,   -17.0, ,    -3.6, ,     6.5, ,    14.6, ,    15.7, ,    11.8, ,    10.9, ,     2.9, ,    -2.3, ,   -10.1, ,    -1.0, ,   -20.3, ,    -4.7, ,    14.1, ,     3.8, 
1924,   -24.8, ,   -18.2, ,   -10.7, ,     -.7, ,     4.8, ,    11.3, ,    14.6, ,    13.6, ,     9.4, ,     7.6, ,    -5.2, ,   -20.7, ,    -1.6, ,   -17.7, ,    -2.2, ,    13.2, ,     3.9, 
1925,   -22.8, ,   -17.6, ,    -9.2, ,     1.3, ,     4.1, ,    15.2, ,    15.9, ,    13.6, , -9999.9,M,    -1.7, ,    -6.2, ,   -14.9, , -9999.9,M,   -20.4, ,    -1.3, ,    14.9, , -9999.9,M
1926,   -18.4, ,   -17.9, ,   -13.4, ,    -4.9, ,     6.9, ,    11.2, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,   -17.1, ,    -3.8, , -9999.9,M, -9999.9,M
