6166418,PETERBOROUGH      ,ON, station joined    , Monthly mean of homogenized daily mean temperature                     , °C,          Updated to December 2010
6166418,PETERBOROUGH      ,ON, station jointe    , Moyenne mensuelle des températures homogénéisées moyennes quotidiennes , °C, Mise à jour jusqu à décembre 2010
Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Year,    Janv, ,     Fév, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Août, ,    Sept, ,     Oct, ,     Nov, ,     Déc, ,  Annuel, ,   Hiver, ,Printemp, ,     Eté, , Automne
1866, -9999.9,M, -9999.9,M, -9999.9,M,     5.0,a,     7.1,a,    15.2,a,    19.1,a,    13.7,a,    10.1,a,     7.3,a,     1.0,a,    -7.3,a, -9999.9,M, -9999.9,M, -9999.9,M,    16.0,a,     6.1,a
1867,   -12.3,a,    -5.1,a,    -4.8,a,     3.1,a,     6.8,a,    16.6,a,    17.0,a,    17.4,a,    12.0,a,     6.6,a,     -.7,a,   -10.4,a,     3.9,a,    -8.2,a,     1.7,a,    17.0,a,     6.0,a
1868,   -11.1,a,   -12.3,a,    -2.0,a,     1.7,a,    10.3,a,    15.5,a,    21.8,a,    16.7,a,    10.4,a,     2.6,a,     -.9,a,    -9.8,a,     3.6,a,   -11.3,a,     3.3,a,    18.0,a,     4.0,a
1869,    -6.4,a,    -8.1,a,    -8.1,a,     2.5,a,     9.3,a,    13.1,a,    15.5,a,    14.5,a,    12.3,a,     2.5,a,    -3.1,a,    -5.7,a,     3.2,a,    -8.1,a,     1.2,a,    14.4,a,     3.9,a
1870,    -9.2,a,   -10.3,a,    -6.3,a,     5.0,a,    11.3,a,    17.7,a,    16.9,a,    15.4,a,    11.6,a,     5.9,a,    -1.5,a,    -8.9,a,     4.0,a,    -8.4,a,     3.3,a,    16.7,a,     5.3,a
1871, -9999.9,M, -9999.9,M,     -.4,a,     5.2,a,    10.5,a,    13.6,a,    15.1,a,    15.9,a,     8.3,a,     5.5,a,    -5.0,a,   -12.7,a, -9999.9,M, -9999.9,M,     5.1,a,    14.9,a,     2.9,a
1872, -9999.9,M,    -8.2,a,    -8.4,a,     3.8,a,    10.9,a,    17.5,a,    20.1,a,    20.0,a,    14.4,a,     6.0,a,    -1.4,a,   -11.6,a, -9999.9,M, -9999.9,M,     2.1,a,    19.2,a,     6.3,a
1873,   -10.7,a,    -8.7,a,    -4.5,a,     2.9,a,    10.4,a,    17.2,a,    18.1,a,    17.1,a,    11.4,a,     4.8,a,    -5.8,a,    -4.9,a,     3.9,a,   -10.3,a,     2.9,a,    17.5,a,     3.5,a
1874,    -8.1,a,   -10.3,a,    -5.0,a, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    -7.8,a, -9999.9,M, -9999.9,M, -9999.9,M
1875, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
1876, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
1877,   -11.9,a,    -3.4,a,    -5.1,a,     4.9,a,    10.9,a,    14.7,a,    18.3,a, -9999.9,M,    13.8,a,     7.0,a,      .6,a, -9999.9,M, -9999.9,M, -9999.9,M,     3.6,a, -9999.9,M,     7.2,a
1878, -9999.9,M,    -4.6,a, -9999.9,M,     9.0,a,     9.9,a,    13.8,a, -9999.9,M,    17.9,a, -9999.9,M,     7.8,a,     -.1,a,    -6.8,a, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
1879,   -10.0,a, -9999.9,M,    -4.6,a,     3.0,a,    11.2,a,    15.2,a,    17.8,a, -9999.9,M,    10.9,a,    11.3,a, -9999.9,M,    -5.7,a, -9999.9,M, -9999.9,M,     3.2,a, -9999.9,M, -9999.9,M
1880,    -2.7,a,    -5.0,a, -9999.9,M,     3.7,a,    13.5,a,    16.3,a,    17.6,a, -9999.9,M, -9999.9,M, -9999.9,M,    -3.0,a,    -9.5,a, -9999.9,M,    -4.4,a, -9999.9,M, -9999.9,M, -9999.9,M
1881,   -12.7,a, -9999.9,M,    -2.3,a, -9999.9,M,    13.6,a,    13.4,a, -9999.9,M,    19.5,a,    17.2,a,     6.4,a,      .6,a,    -1.1,a, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     8.1,a
1882,    -8.5,a,    -3.6,a,    -2.3,a,     2.9,a,     7.9,a,    14.2,a,    16.9,a,    17.8,a,    13.9,a,     8.4,a,     -.4,a,    -7.5,a,     5.0,a,    -4.4,a,     2.8,a,    16.3,a,     7.3,a
1883, -9999.9,M,   -10.2,a,    -8.0,a, -9999.9,M,     8.7,a,    16.6,a,    17.5,a,    15.3,a,    11.0,a,     6.1,a,     1.2,a,    -5.8,a, -9999.9,M, -9999.9,M, -9999.9,M,    16.5,a,     6.1,a
