704S001,BAIE COMEAU       ,QC, station joined    , Monthly mean of homogenized daily mean temperature                     , °C,          Updated to December 2010
704S001,BAIE COMEAU       ,QC, station jointe    , Moyenne mensuelle des températures homogénéisées moyennes quotidiennes , °C, Mise à jour jusqu à décembre 2010
Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Year,    Janv, ,     Fév, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Août, ,    Sept, ,     Oct, ,     Nov, ,     Déc, ,  Annuel, ,   Hiver, ,Printemp, ,     Eté, , Automne
1965,   -16.2, ,   -14.2, ,    -5.5, ,      .0, , -9999.9,M,    13.1, ,    13.2, ,    12.7, , -9999.9,M,     2.4, ,    -5.9, ,   -10.7, , -9999.9,M, -9999.9,M, -9999.9,M,    13.0, , -9999.9,M
1966,    -9.4, , -9999.9,M,    -4.0, ,      .3, ,     6.0, ,    13.2, ,    15.0, ,    14.4, ,     9.5, ,     4.3, ,     -.3, ,    -8.6, , -9999.9,M, -9999.9,M,      .8, ,    14.2, ,     4.5, 
1967,   -13.5, ,   -18.3, ,   -12.4, ,    -2.4, ,     5.2, ,    13.8, ,    17.3, ,    15.5, ,    10.9, ,     5.4, ,    -1.6, ,    -8.5, ,      .9, ,   -13.4, ,    -3.2, ,    15.5, ,     4.9, 
1968,   -16.2, ,   -13.2, ,    -6.9, ,     1.5, ,     7.5, ,    12.3, ,    16.1, ,    12.1, ,    12.6, ,     7.0, ,    -2.8, ,    -7.7, ,     1.9, ,   -12.7, ,      .7, ,    13.5, ,     5.6, 
1969,    -9.0, ,    -8.1, ,    -5.3, ,    -2.1, ,     5.1, ,    12.3, ,    15.0, ,    15.6, ,     8.9, ,     3.5, ,     1.0, ,    -6.5, ,     2.5, ,    -8.3, ,     -.8, ,    14.3, ,     4.5, 
1970,   -16.0, ,   -13.4, ,    -5.4, ,      .0, ,     6.4, ,    12.1, ,    16.7, ,    15.9, ,     9.3, ,     6.2, ,     -.3, ,   -12.8, ,     1.6, ,   -12.0, ,      .3, ,    14.9, ,     5.1, 
1971,   -15.4, ,   -12.3, ,    -5.0, ,     1.1, ,     7.5, ,    12.4, ,    15.5, ,    14.1, ,    10.9, ,     5.6, ,    -2.3, ,   -12.5, ,     1.6, ,   -13.5, ,     1.2, ,    14.0, ,     4.7, 
1972,   -15.4, ,   -15.4, ,    -9.8, ,     -.3, ,     5.9, ,    11.2, ,    15.0, ,    12.8, ,     9.8, ,     2.3, ,    -3.3, ,   -14.9, ,     -.2, ,   -14.5, ,    -1.4, ,    13.0, ,     2.9, 
1973,   -13.6, ,   -13.4, ,    -5.3, ,     -.6, ,     5.6, ,    13.9, ,    17.8, ,    15.8, ,     9.4, ,     4.7, ,    -2.6, ,    -7.2, ,     2.0, ,   -14.0, ,     -.1, ,    15.8, ,     3.8, 
1974,   -18.1, ,   -14.8, ,    -9.4, ,    -1.7, ,     4.2, ,    13.6, ,    15.7, ,    14.4, ,     8.3, ,     2.7, ,    -1.3, ,    -7.2, ,      .5, ,   -13.4, ,    -2.3, ,    14.6, ,     3.2, 
1975,   -14.7, ,   -13.9, ,    -7.0, ,     -.2, ,     7.0, ,    13.4, ,    17.1, ,    15.2, ,     9.7, ,     4.5, ,    -1.2, ,   -12.6, ,     1.5, ,   -11.9, ,      .0, ,    15.2, ,     4.3, 
1976,   -15.4, ,   -12.6, ,    -9.2, ,      .1, ,     6.7, ,    14.2, ,    15.2, ,    14.1, ,     8.8, ,     2.7, ,    -3.0, ,   -13.6, ,      .7, ,   -13.5, ,     -.8, ,    14.5, ,     2.8, 
1977,   -14.9, ,   -11.3, ,    -3.2, ,    -1.2, ,     8.5, ,    12.1, ,    14.6, ,    13.4, ,     8.4, ,     5.2, ,      .1, ,    -9.2, ,     1.9, ,   -13.3, ,     1.4, ,    13.4, ,     4.6, 
1978,   -13.9, ,   -10.5, ,    -9.3, ,     -.7, ,     7.1, ,    12.1, ,    15.8, ,    14.5, ,     8.0, ,     3.4, ,    -4.2, ,   -10.4, ,     1.0, ,   -11.2, ,     -.9, ,    14.1, ,     2.4, 
1979,   -11.1, ,   -12.6, ,    -3.1, ,     1.5, ,     8.5, ,    13.7, ,    15.7, ,    13.9, ,     9.2, ,     5.2, ,     -.4, ,    -8.2, ,     2.7, ,   -11.4, ,     2.3, ,    14.4, ,     4.7, 
1980,   -12.1, ,   -11.2, ,    -6.2, ,     1.7, ,     7.1, ,    11.5, ,    14.5, ,    16.4, ,     8.8, ,     3.0, ,    -1.8, ,   -14.8, ,     1.4, ,   -10.5, ,      .9, ,    14.1, ,     3.3, 
1981,   -14.8, ,    -5.8, ,    -2.5, ,     1.0, ,     7.0, ,    11.9, ,    15.9, ,    14.3, ,    10.2, ,     4.0, ,     -.5, ,    -4.3, ,     3.0, ,   -11.8, ,     1.8, ,    14.0, ,     4.6, 
1982,   -16.8, ,   -15.1, ,    -7.1, ,    -1.6, ,     6.4, ,    11.4, ,    15.0, ,    12.1, ,     9.4, ,     5.0, ,    -1.0, ,    -8.7, ,      .8, ,   -12.1, ,     -.8, ,    12.8, ,     4.5, 
1983,   -11.7, ,   -11.0, ,    -4.3, ,     1.8, ,     5.8, ,    13.3, ,    15.3, ,    14.4, ,    11.3, ,     4.8, ,     -.7, ,   -12.3, ,     2.2, ,   -10.5, ,     1.1, ,    14.3, ,     5.1, 
1984,   -17.6, ,    -7.9, ,    -8.8, ,      .3, ,     6.2, ,    11.2, ,    16.0, ,    15.3, ,     8.9, ,     3.7, ,    -1.3, ,   -10.6, ,     1.3, ,   -12.6, ,     -.8, ,    14.2, ,     3.8, 
1985,   -15.8, ,   -10.1, ,    -6.9, ,    -1.2, ,     5.8, ,    11.7, ,    15.6, ,    14.3, ,    10.9, ,     4.5, ,    -3.9, ,   -13.0, ,     1.0, ,   -12.2, ,     -.8, ,    13.9, ,     3.8, 
1986,   -13.5, ,   -13.7, ,    -7.7, ,     1.5, ,     7.6, ,    10.7, ,    14.5, ,    13.3, ,     8.2, ,     3.1, ,    -5.4, ,    -9.8, ,      .7, ,   -13.4, ,      .5, ,    12.8, ,     2.0, 
1987,   -12.5, ,   -10.9, ,    -3.7, ,     3.6, ,     7.1, ,    12.2, ,    15.9, ,    13.1, ,     9.8, ,     4.4, ,    -2.4, ,    -8.5, ,     2.3, ,   -11.1, ,     2.4, ,    13.7, ,     3.9, 
1988,   -12.2, ,   -14.2, ,    -6.4, ,     1.6, ,     7.8, ,    11.4, ,    16.1, ,    14.8, ,     9.1, ,     3.4, ,     -.3, ,   -12.1, ,     1.6, ,   -11.7, ,     1.0, ,    14.1, ,     4.1, 
1989,   -14.2, ,   -14.7, ,    -9.1, ,     1.2, ,     8.0, ,    12.8, ,    15.8, ,    14.6, ,    10.3, ,     3.9, ,    -4.3, ,   -14.5, ,      .8, ,   -13.7, ,      .0, ,    14.4, ,     3.3, 
1990,   -12.3, ,   -14.7, ,    -7.3, ,      .7, ,     5.9, ,    12.7, ,    15.2, ,    16.4, ,     9.7, ,     4.3, ,    -1.9, ,   -10.1, ,     1.5, ,   -13.9, ,     -.2, ,    14.7, ,     4.0, 
1991,   -18.3, ,   -13.0, ,    -5.5, ,      .1, ,     7.2, ,    13.8, ,    15.7, ,    15.1, ,     8.6, ,     4.7, ,     -.7, ,   -12.2, ,     1.3, ,   -13.8, ,      .6, ,    14.9, ,     4.2, 
1992,   -14.5, ,   -14.4, ,    -8.6, ,     -.9, ,     7.1, ,    11.9, ,    13.3, ,    14.0, ,    10.2, ,     3.3, ,    -2.9, ,    -9.0, ,      .8, ,   -13.7, ,     -.8, ,    13.1, ,     3.5, 
1993,   -15.7, ,   -18.3, ,    -7.7, ,     1.1, ,     7.4, ,    12.1, ,    15.4, ,    15.4, ,     8.9, ,     2.6, ,    -3.7, ,    -8.6, ,      .7, ,   -14.3, ,      .3, ,    14.3, ,     2.6, 
1994,   -19.7, ,   -15.3, ,    -5.9, ,    -1.0, ,     5.9, ,    13.1, ,    15.8, ,    13.6, ,    10.3, ,     6.1, ,     -.5, ,    -8.4, ,     1.2, ,   -14.6, ,     -.3, ,    14.2, ,     5.3, 
1995,   -11.2, ,   -15.4, ,    -6.7, ,     -.6, ,     6.8, ,    13.5, ,    17.4, ,    15.4, ,     8.9, ,     6.2, ,    -3.2, ,    -9.7, ,     1.8, ,   -11.6, ,     -.2, ,    15.4, ,     4.0, 
1996,   -14.2, ,   -12.8, ,    -6.0, ,     1.2, ,     5.9, ,    13.4, ,    15.3, ,    15.4, ,    10.7, ,     3.9, ,    -2.1, ,    -5.1, ,     2.1, ,   -12.2, ,      .4, ,    14.7, ,     4.2, 
