8200100,ANNAPOLIS ROYAL   ,NS, station not joined, Monthly mean of homogenized daily mean temperature                     , °C,          Updated to December 2010
8200100,ANNAPOLIS ROYAL   ,NS, station non-jointe, Moyenne mensuelle des températures homogénéisées moyennes quotidiennes , °C, Mise à jour jusqu à décembre 2010
Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Year,    Janv, ,     Fév, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Août, ,    Sept, ,     Oct, ,     Nov, ,     Déc, ,  Annuel, ,   Hiver, ,Printemp, ,     Eté, , Automne
1914, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     9.8, ,    13.5, ,    16.3, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    -1.8, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
1915,    -2.3, ,    -2.4, ,     -.9, ,     6.2, ,     9.8, ,    14.9, ,    18.0, , -9999.9,M, -9999.9,M, -9999.9,M,     4.6, ,     -.5, , -9999.9,M,    -2.1, ,     5.0, , -9999.9,M, -9999.9,M
1916,    -4.3, ,    -5.8, ,    -4.1, ,     4.9, ,    10.4, ,    15.3, ,    17.5, ,    17.6, ,    13.5, ,     8.9, ,     2.7, ,     -.9, ,     6.3, ,    -3.5, ,     3.7, ,    16.8, ,     8.4, 
1917,    -5.1, ,    -6.2, ,     -.6, , -9999.9,M,     6.8, ,    15.4, , -9999.9,M,    18.9, ,    11.7, ,     9.4, ,      .9, ,    -4.8, , -9999.9,M,    -4.0, , -9999.9,M, -9999.9,M,     7.3, 
1918,    -6.7, ,    -7.0, ,    -2.8, ,     4.8, ,    12.1, ,    14.4, ,    18.5, ,    16.2, ,    14.9, ,     8.8, ,     3.4, ,    -2.0, ,     6.2, ,    -6.1, ,     4.7, ,    16.3, ,     9.0, 
1919,    -3.1, ,    -2.7, ,     1.3, ,     4.8, ,     9.9, ,    15.6, ,    17.9, ,    16.6, ,    14.8, ,     8.0, ,     4.3, ,    -4.8, ,     6.9, ,    -2.6, ,     5.3, ,    16.7, ,     9.1, 
1920,    -9.3, ,    -3.6, ,      .6, ,     3.8, ,     9.9, ,    13.7, ,    17.4, ,    18.7, ,    14.5, ,    11.3, ,     2.4, ,    -1.2, ,     6.5, ,    -5.9, ,     4.8, ,    16.6, ,     9.4, 
1921,    -4.0, ,    -5.1, ,     3.2, ,     7.3, ,    10.6, ,    15.1, ,    18.9, ,    16.3, ,    15.3, ,    10.5, ,     2.3, ,    -1.9, ,     7.4, ,    -3.4, ,     7.0, ,    16.8, ,     9.4, 
1922,    -5.5, ,    -4.4, ,      .7, ,     5.0, ,    11.1, ,    17.3, ,    18.2, ,    17.3, ,    12.8, ,     8.2, ,     2.8, ,    -4.2, ,     6.6, ,    -4.0, ,     5.6, ,    17.6, ,     7.9, 
1923,    -6.1, ,   -10.0, ,    -5.1, ,     2.6, ,    10.0, ,    13.4, ,    16.3, ,    15.6, ,    13.7, ,     9.6, ,     4.9, , -9999.9,M, -9999.9,M,    -6.8, ,     2.5, ,    15.1, ,     9.4, 
1924,    -3.6, ,    -6.3, ,     -.4, ,     3.9, ,    10.7, ,    13.9, ,    18.2, ,    17.9, ,    13.3, ,     9.0, ,     5.0, ,    -3.4, ,     6.5, , -9999.9,M,     4.8, ,    16.7, ,     9.1, 
1925,    -7.3, ,     -.9, ,     2.9, ,     4.9, ,     9.4, ,    15.4, ,    18.1, ,    17.7, ,    12.8, ,     5.9, ,     3.2, ,    -3.1, ,     6.6, ,    -3.9, ,     5.7, ,    17.1, ,     7.3, 
1926,    -4.5, ,    -5.8, ,    -3.2, ,     2.9, ,     9.7, ,    14.1, ,    17.1, ,    16.9, , -9999.9,M,     9.3, ,     5.0, ,    -3.3, , -9999.9,M,    -4.5, ,     3.1, ,    16.0, , -9999.9,M
1927,    -1.7, ,    -4.9, ,      .2, ,     4.4, ,     9.8, ,    14.4, ,    18.9, ,    17.4, ,    14.4, ,    11.0, ,     6.6, ,      .2, ,     7.6, ,    -3.3, ,     4.8, ,    16.9, ,    10.7, 
1928,    -3.8, ,    -4.6, ,     -.5, ,     5.8, ,    11.3, ,    15.1, ,    18.6, ,    18.9, ,    13.5, ,     9.3, ,     3.3, ,      .6, ,     7.3, ,    -2.7, ,     5.5, ,    17.5, ,     8.7, 
1929,    -4.5, ,    -3.7, ,      .2, ,     4.6, ,    11.3, ,    15.6, ,    17.8, ,    17.5, ,    14.7, ,     9.2, ,     3.0, ,    -3.2, ,     6.9, ,    -2.5, ,     5.4, ,    17.0, ,     9.0, 
1930,    -3.4, ,    -3.9, ,      .3, ,     4.5, ,    10.2, ,    18.8, ,    19.0, ,    17.8, ,    15.5, ,    10.1, ,     3.7, ,    -1.8, ,     7.6, ,    -3.5, ,     5.0, ,    18.5, ,     9.8, 
1931,    -3.6, ,    -2.9, ,     1.9, ,     6.7, ,    11.1, ,    15.3, ,    19.8, ,    18.0, ,    14.2, ,    10.5, ,     6.5, ,    -1.1, ,     8.0, ,    -2.8, ,     6.6, ,    17.7, ,    10.4, 
1932,     -.9, ,    -6.1, ,    -1.0, ,     5.3, ,    10.3, ,    14.7, ,    17.7, ,    18.8, ,    15.5, ,    11.6, ,     4.1, ,      .8, ,     7.6, ,    -2.7, ,     4.9, ,    17.1, ,    10.4, 
1933,     -.8, ,    -1.1, ,    -1.0, ,     5.7, ,    10.6, ,    15.1, ,    17.3, ,    18.4, ,    14.7, ,     9.9, ,      .6, ,    -5.6, ,     7.0, ,     -.4, ,     5.1, ,    16.9, ,     8.4, 
1934,    -6.3, ,    -8.3, ,     -.8, ,     6.6, ,    10.9, ,    14.2, ,    18.3, ,    17.0, ,    17.0, ,     8.7, ,     5.5, ,    -3.9, ,     6.6, ,    -6.7, ,     5.6, ,    16.5, ,    10.4, 
1935,    -6.0, ,    -5.4, ,    -1.5, ,     4.6, ,    10.0, ,    16.1, ,    18.6, ,    19.0, ,    13.2, ,     8.8, ,     6.4, ,    -2.9, ,     6.7, ,    -5.1, ,     4.4, ,    17.9, ,     9.4, 
1936,    -4.0, ,    -6.0, ,     4.1, ,     4.6, ,    11.1, ,    16.4, ,    17.3, ,    17.3, ,    13.9, ,     9.0, ,     2.7, ,     -.3, ,     7.2, ,    -4.3, ,     6.6, ,    17.0, ,     8.5, 
1937,     -.9, ,    -2.1, ,    -1.6, ,     5.2, ,    12.2, ,    16.3, ,    19.0, ,    20.2, ,    15.2, ,     9.4, ,     5.0, ,    -1.4, ,     8.0, ,    -1.1, ,     5.3, ,    18.5, ,     9.9, 
1938,    -4.0, ,    -5.2, ,    -1.6, ,     6.3, ,     9.7, ,    16.5, ,    18.6, ,    19.2, ,    14.7, ,    10.5, ,     4.8, ,     -.4, ,     7.4, ,    -3.5, ,     4.8, ,    18.1, ,    10.0, 
1939,    -4.7, ,    -3.6, ,    -2.7, ,     3.5, ,    10.1, ,    14.1, ,    19.2, ,    20.4, ,    14.4, ,     9.9, ,     2.6, ,    -1.5, ,     6.8, ,    -2.9, ,     3.6, ,    17.9, ,     9.0, 
1940,    -7.1, ,    -4.5, ,    -1.3, ,     3.7, ,    12.0, ,    14.8, ,    18.8, ,    17.0, ,    14.5, ,     7.4, ,     3.9, ,    -1.8, ,     6.5, ,    -4.3, ,     4.8, ,    16.9, ,     8.6, 
1941,    -5.9, ,    -3.2, ,    -2.0, ,     6.1, ,    10.5, ,    15.2, ,    18.4, ,    16.5, ,    13.8, ,     8.7, ,     4.3, ,    -1.0, ,     6.8, ,    -3.6, ,     4.9, ,    16.7, ,     8.9, 
1942,    -4.8, ,    -5.0, ,     2.0, ,     6.1, ,    13.0, ,    15.8, ,    18.8, ,    17.9, ,    15.6, ,    10.0, ,     3.7, ,    -4.6, ,     7.4, ,    -3.6, ,     7.0, ,    17.5, ,     9.8, 
1943,    -7.2, ,    -2.7, ,     -.3, ,     3.5, ,    10.7, ,    14.6, ,    18.8, ,    17.6, ,    15.1, ,    10.8, ,     4.7, ,    -3.8, ,     6.8, ,    -4.8, ,     4.6, ,    17.0, ,    10.2, 
1944,    -3.7, ,    -5.1, ,    -1.3, ,     3.9, ,    12.4, ,    15.6, ,    19.1, ,    19.7, ,    15.6, ,     9.4, ,     5.1, ,    -1.7, ,     7.4, ,    -4.2, ,     5.0, ,    18.1, ,    10.0, 
1945,    -4.6, ,    -4.5, ,     2.0, ,     7.9, ,    10.5, ,    14.4, ,    19.1, ,    18.6, ,    15.3, ,     8.9, ,     4.1, ,    -3.2, ,     7.4, ,    -3.6, ,     6.8, ,    17.4, ,     9.4, 
1946,    -4.1, ,    -4.9, ,     3.4, ,     3.2, ,    10.8, ,    15.0, ,    17.3, ,    18.1, ,    15.8, ,    10.7, ,     4.8, ,    -1.2, ,     7.4, ,    -4.1, ,     5.8, ,    16.8, ,    10.4, 
1947,    -4.1, ,    -1.8, ,     1.1, ,     4.2, ,    12.2, ,    14.5, ,    21.2, ,    19.2, ,    15.5, ,    11.3, ,     4.2, ,    -2.9, ,     7.9, ,    -2.3, ,     5.9, ,    18.3, ,    10.3, 
1948,    -5.3, ,    -6.8, ,    -1.4, ,     4.7, ,    11.1, ,    14.9, ,    19.1, ,    19.0, ,    14.6, ,     9.5, ,     6.4, ,     -.7, ,     7.1, ,    -5.0, ,     4.8, ,    17.7, ,    10.2, 
1949,    -1.9, ,    -2.8, ,      .4, ,     6.6, ,    11.0, ,    16.5, ,    19.8, ,    19.4, ,    15.2, ,    10.6, ,     4.5, ,      .6, ,     8.3, ,    -1.8, ,     6.0, ,    18.6, ,    10.1, 
1950,    -2.1, ,    -6.2, ,    -2.0, ,     5.0, ,    10.9, ,    15.6, ,    18.3, ,    18.7, ,    12.5, ,     9.1, ,     7.3, ,     1.8, ,     7.4, ,    -2.5, ,     4.7, ,    17.5, ,     9.6, 
