lat	lon	title	description
31.058	 -87.055	011084	BREWTON 3 SSE, AL
30.547	 -87.881	012813	FAIRHOPE 2 NE, AL
32.835	 -88.134	013160	GAINESVILLE/LOCK, AL
32.702	 -87.581	013511	GREENSBORO, AL
31.870	 -86.254	013816	HIGHLAND HOME, AL
34.744	 -87.600	015749	MUSCLE SHOALS REGIONAL AP, AL
34.174	 -86.813	017157	SAINT BERNARD, AL
34.674	 -86.054	017304	SCOTTSBORO, AL
32.410	 -87.015	017366	SELMA, AL
33.416	 -86.135	018024	TALLADEGA, AL
31.541	 -87.883	018178	THOMASVILLE, AL
31.808	 -85.972	018323	TROY, AL
33.222	 -87.609	018380	TUSCALOOSA/ACFD, AL
32.014	 -85.746	018438	UNION SPRINGS 9 S, AL
34.567	 -85.613	018469	VALLEY HEAD, AL
32.369	-112.862	020080	AJO, AZ
33.376	-112.583	021026	BUCKEYE, AZ
36.153	-109.539	021248	CANYON DE CHELLY, AZ
33.206	-111.682	021514	CHANDLER HEIGHTS, AZ
34.349	-111.698	021614	CHILDS, AZ
35.268	-111.743	023160	FORT VALLEY, AZ
36.053	-112.150	023596	GRAND CANYON/NATL PK, AZ
34.909	-110.154	024089	HOLBROOK, AZ
35.200	-114.017	024645	KINGMAN NO 2, AZ
36.864	-111.602	024849	LEES FERRY, AZ
33.404	-110.870	025512	MIAMI, AZ
34.155	-114.290	026250	PARKER, AZ
31.936	-109.838	026353	PEARCE SUNSITES, AZ
34.571	-112.432	026796	PRESCOTT, AZ
33.673	-111.151	027281	ROOSEVELT 1 WNW, AZ
33.080	-111.742	027370	SACATON, AZ
32.815	-109.681	027390	SAFFORD/AGR CTR, AZ
34.517	-109.403	027435	SAINT JOHNS, AZ
35.332	-112.880	027716	SELIGMAN, AZ
31.706	-110.057	028619	TOMBSTONE, AZ
32.229	-110.954	028815	TUCSON NWSO, AZ
33.817	-109.983	029271	WHITERIVER 1 SW, AZ
33.979	-112.740	029287	WICKENBURG, AZ
35.241	-112.190	029359	WILLIAMS, AZ
32.611	-114.635	029652	YUMA CITRUS STATION, AZ
34.882	 -91.215	030936	BRINKLEY, AR
35.084	 -92.429	031596	CONWAY, AR
36.420	 -90.586	031632	CORNING, AR
36.416	 -93.792	032356	EUREKA SPRINGS 3 WNW, AR
36.101	 -94.174	032444	FAYETTEVILLE/EXP STN, AR
36.426	 -94.448	032930	GRAVETTE, AR
36.495	 -91.535	034572	MAMMOTH SPRING, AR
34.573	 -94.249	034756	MENA, AR
35.604	 -91.274	035186	NEWPORT, AR
35.513	 -93.868	035512	OZARK 2, AR
34.226	 -92.019	035754	PINE BLUFF, AR
36.264	 -90.968	035820	POCAHONTAS 1, AR
33.798	 -93.377	035908	PRESCOTT, AR
33.810	 -91.270	036253	ROHWER, AR, AR
35.303	 -93.637	036928	SUBIACO, AR
37.874	-122.259	040693	BERKELEY, CA
33.613	-114.597	040924	BLYTHE, CA
32.954	-115.558	041048	BRAWLEY 2 SW, CA
41.534	-120.174	041614	CEDARVILLE, CA
39.691	-121.821	041715	CHICO UNIVERSITY FAR, CA
32.640	-117.086	041758	CHULA VISTA, CA
39.091	-120.948	041912	COLFAX, CA
32.990	-116.587	042239	CUYAMACA, CA
38.535	-121.776	042294	DAVIS 2 WSW EXP FARM, CA
36.462	-116.867	042319	DEATH VALLEY, CA
38.331	-120.671	042728	ELECTRA P H, CA
40.811	-124.160	042910	EUREKA, CA
34.704	-118.427	042941	FAIRMONT, CA
39.509	-123.757	043161	FORT BRAGG 5 N, CA
36.780	-119.719	043257	FRESNO YOSEMITE INTL AP, CA
36.322	-119.636	043747	HANFORD 1 S, CA
41.804	-123.376	043761	HAPPY CAMP RANGER ST, CA
38.618	-122.873	043875	HEALDSBURG, CA
36.798	-118.204	044232	INDEPENDENCE, CA
33.709	-116.215	044259	INDIO FIRE STATION, CA
39.318	-120.639	044713	LAKE SPAULDING, CA
36.382	-119.026	044890	LEMON COVE, CA
37.692	-121.769	044997	LIVERMORE, CA
38.106	-121.288	045032	LODI, CA
39.146	-121.585	045385	MARYSVILLE, CA
37.286	-120.512	045532	MERCED, CA
41.321	-122.308	045983	MOUNT SHASTA, CA
38.278	-122.264	046074	NAPA STATE HOSPITAL, CA
34.768	-114.619	046118	NEEDLES/FAA AP, CA
33.603	-117.880	046175	NEWPORT BEACH HARBOR, CA
34.448	-119.228	046399	OJAI, CA
39.746	-122.200	046506	ORLAND, CA
41.309	-123.532	046508	ORLEANS, CA
34.148	-118.145	046719	PASADENA, CA
35.628	-120.686	046730	PASO ROBLES, CA
38.258	-122.608	046826	PETALUMA FIRE STA 2, CA
39.937	-120.948	047195	QUINCY, CA
40.518	-122.299	047304	REDDING/WSO, CA
34.053	-117.189	047306	REDLANDS, CA
35.306	-120.664	047851	SAN LUIS OBISPO WBO, CA
34.417	-119.684	047902	SANTA BARBARA, CA
36.991	-121.991	047916	SANTA CRUZ, CA
38.438	-122.698	047965	SANTA ROSA, CA
40.417	-120.663	048702	SUSANVILLE, CA
39.168	-120.143	048758	TAHOE CITY, CA
35.023	-118.750	048839	TEJON RANCHO, CA
33.702	-117.754	049087	TUSTIN IRVINE RANCH, CA
39.147	-123.210	049122	UKIAH, CA
38.396	-121.961	049200	VACAVILLE, CA
35.597	-119.353	049452	WASCO, CA
40.735	-122.939	049490	WEAVERVILLE, CA
39.523	-122.306	049699	WILLOWS 6 W, CA
37.750	-119.590	049855	YOSEMITE PARK HDQTRS, CA
41.704	-122.641	049866	YREKA, CA
39.992	-105.267	050848	BOULDER, CO
38.460	-105.226	051294	CANON CITY, CO
39.220	-105.278	051528	CHEESMAN, CO
38.818	-102.361	051564	CHEYENNE WELLS, CO
39.243	-107.963	051741	COLLBRAN, CO
37.674	-106.325	052184	DEL NORTE 2 E, CO
39.626	-106.035	052281	DILLON 1 E, CO
38.478	-102.781	052446	EADS, CO
40.615	-105.131	053005	FORT COLLINS, CO
40.262	-103.804	053038	FORT MORGAN, CO
39.164	-108.734	053146	FRUITA 1 W, CO
38.526	-106.967	053662	GUNNISON 3 SW, CO
37.772	-107.110	053951	HERMIT 7 ESE, CO
38.049	-102.124	054076	HOLLY, CO
38.094	-102.631	054770	LAMAR, CO
38.064	-103.215	054834	LAS ANIMAS, CO
37.174	-105.939	055322	MANASSA, CO
38.486	-107.879	055722	MONTROSE NO 2, CO
38.039	-103.693	057167	ROCKY FORD 2 SE, CO
38.086	-106.144	057337	SAGUACHE, CO
40.488	-106.823	057936	STEAMBOAT SPRINGS, CO
37.949	-107.873	058204	TELLURIDE 4 WNW, CO
37.179	-104.487	058429	TRINIDAD, CO
40.061	-102.220	059243	WRAY 2 E, CO
41.950	 -73.367	062658	FALLS VILLAGE, CT
41.351	 -72.039	063207	GROTON, CT
41.125	 -73.548	067970	STAMFORD, CT
41.800	 -72.250	068138	STORRS, CT
39.258	 -75.517	072730	DOVER, DE
38.816	 -75.576	073595	GREENWOOD, DE
38.898	 -75.425	075915	MILFORD 2 SE, DE
39.669	 -75.751	076410	NEWARK UNIVERSITY FA, DE
39.774	 -75.541	079605	WILMINGTON/PORTER RSVR, DE
29.726	 -85.021	080211	APALACHICOLA, FL
27.218	 -81.874	080228	ARCADIA, FL
27.899	 -81.843	080478	BARTOW, FL
26.693	 -80.671	080611	BELLE GLADE EXP STN, FL
30.724	 -86.094	082220	DE FUNIAK SPRINGS, FL
25.849	 -81.390	082850	EVERGLADES, FL
29.755	 -81.539	082915	FEDERAL POINT, FL
30.659	 -81.464	082944	FERNANDINA BEACH, FL
26.102	 -80.201	083163	FORT LAUDERDALE, FL
26.585	 -81.861	083186	FORT MYERS PAGE FIELD, FL
27.462	 -80.354	083207	FORT PIERCE, FL
28.803	 -82.312	084289	INVERNESS 3 SE, FL
24.555	 -81.752	084570	KEY WEST/WSO AP, FL
30.185	 -82.594	084731	LAKE CITY 2 E, FL
30.452	 -83.412	085275	MADISON, FL
29.080	 -82.078	086414	OCALA, FL
30.478	 -87.187	086997	PENSACOLA/FAA AP, FL
25.582	 -80.436	087020	PERRINE, FL
28.338	 -82.260	087851	SAINT LEO, FL
30.393	 -84.353	088758	TALLAHASSEE/WSO AP, FL
28.150	 -82.750	088824	TARPON SPNGS SWG PLT, FL
28.624	 -80.816	088942	TITUSVILLE, FL
31.534	 -84.149	090140	ALBANY 3 SE, GA
30.823	 -84.618	090586	BAINBRIDGE/INTL PAPER, GA
31.168	 -81.502	091340	BRUNSWICK, GA
31.190	 -84.204	091500	CAMILLA 3SE, GA
33.595	 -83.914	092318	COVINGTON, GA
34.529	 -84.005	092475	DAHLONEGA 1 W, GA
32.200	 -83.206	092966	EASTMAN 1 W, GA
34.301	 -83.860	093621	GAINESVILLE, GA
31.934	 -81.927	093754	GLENNVILLE, GA
33.284	 -83.468	094170	HAWKINSVILLE, GA
33.083	 -83.250	095874	MILLEDGEVILLE, GA
32.870	 -81.967	095882	MILLEN 4 N, GA
33.443	 -84.789	096335	NEWNAN 4 NE, GA
30.784	 -83.569	097276	QUITMAN 2 NW, GA
34.245	 -85.151	097600	ROME, GA
32.130	 -81.210	097847	SAVANNAH/WSO AP, GA
32.686	 -84.519	098535	TALBOTTON, GA
31.446	 -83.477	098703	TIFTON EXP STA, GA
34.579	 -83.330	098740	TOCCOA, GA
33.407	 -82.634	099141	WARRENTON, GA
33.726	 -82.706	099157	WASHINGTON 2 ESE, GA
31.251	 -82.313	099186	WAYCROSS 4 NE, GA
32.869	 -85.189	099291	WEST POINT, GA
42.954	-112.825	100010	ABERDEEN EXPRMNT STN, ID
43.594	-115.924	100448	ARROWROCK DAM, ID
44.042	-111.274	100470	ASHTON, ID
42.335	-111.385	100803	BERN, ID
44.573	-116.675	101408	CAMBRIDGE, ID
47.679	-116.802	101956	COEUR D'ALENE, ID
46.502	-116.322	102845	DWORSHAK/FISH HATCHERY, ID
46.093	-115.536	103143	FENN/RANGER STN, ID
42.940	-115.323	103631	GLENNS FERRY, ID
42.590	-111.750	103732	GRACE, ID
42.597	-114.138	104140	HAZELTON, ID
42.353	-114.574	104295	HOLLISTER, ID
42.732	-114.519	104670	JEROME, ID
47.531	-116.127	104831	KELLOGG, ID
43.684	-114.360	104845	KETCHUM/RANGER STN, ID
46.375	-117.016	105241	LEWISTON/WSO AP, ID
42.123	-111.314	105275	LIFTON PUMPING STN, ID
43.918	-113.632	105462	MACKAY LOST RIVER RS, ID
42.149	-112.287	105559	MALAD CITY, ID
44.566	-113.895	105685	MAY 2 SSE, ID
46.724	-116.961	106152	MOSCOW U OF I, ID
43.604	-116.575	106305	NAMPA SUGAR FACTORY, ID
44.965	-116.286	106388	NEW MEADOWS RANGER S, ID
42.234	-113.898	106542	OAKLEY, ID
44.077	-116.930	106891	PAYETTE, ID
48.996	-116.503	107264	PORTHILL, ID
48.351	-116.836	107386	PRIEST RIVER EXP STN, ID
45.188	-113.901	108080	SALMON, ID
48.293	-116.558	108137	SANDPOINT EXP STN, ID
41.196	 -90.747	110072	ALEDO, IL
37.481	 -89.234	110187	ANNA 2 NNE, IL
41.781	 -88.309	110338	AURORA, IL
39.288	 -89.870	111280	CARLINVILLE, IL
39.470	 -88.188	111436	CHARLESTON, IL
40.139	 -87.648	112140	DANVILLE, IL
39.827	 -88.952	112193	DECATUR, IL
41.847	 -89.505	112348	DIXON 1 NW, IL
37.988	 -89.193	112483	DU QUOIN 4 SE, IL
41.186	 -90.031	113335	GALVA, IL
37.741	 -88.524	113879	HARRISBURG, IL
39.150	 -89.483	114108	HILLSBORO, IL
40.474	 -87.656	114198	HOOPESTON 1 NE, IL
39.735	 -90.215	114442	JACKSONVILLE 2 E, IL
40.584	 -90.969	114823	LA HARPE, IL
40.152	 -89.338	115079	LINCOLN, IL
42.293	 -88.647	115326	MARENGO, IL
38.084	 -88.543	115515	MCLEANSBORO 2 ENE, IL
40.912	 -89.034	115712	MINONK, IL
40.925	 -90.639	115768	MONMOUTH, IL
41.804	 -89.974	115833	MORRISON, IL
42.097	 -89.984	115901	MOUNT CARROLL, IL
38.348	 -88.853	115943	MT VERNON 3 NE, IL
38.700	 -88.082	116446	OLNEY 2 S, IL
41.328	 -88.911	116526	OTTAWA 5 SW, IL
38.999	 -87.642	116558	PALESTINE 2 W, IL
39.372	 -89.024	116579	PANA 3 E, IL
39.636	 -87.693	116610	PARIS WATERWORKS, IL
39.806	 -90.824	116738	PERRY 6 NW, IL
40.885	 -88.639	116910	PONTIAC, IL
40.116	 -90.561	117551	RUSHVILLE, IL
38.117	 -89.717	118147	SPARTA 1 W, IL
